-march=native;-march=native;-floop-block;-floop-interchange;-floop-strip-mine;-funroll-loops;-flto;Elapsed;Grind;FOM
0;0;0;0;0;0;0;32.80;1.3033142;767.27468
0;0;0;0;0;0;1;33.65;1.3371754;747.84504
0;0;0;0;0;1;0;32.88;1.3066373;765.3233
0;0;0;0;0;1;1;33.10;1.3152079;760.33606
0;0;0;0;1;0;0;33.20;1.3193895;757.92631
0;0;0;0;1;0;1;32.99;1.3111609;762.68288
0;0;0;0;1;1;0;33.08;1.3147471;760.60253
0;0;0;0;1;1;1;32.93;1.3084748;764.24859
0;0;0;1;0;0;0;32.56;1.2938131;772.90914
0;0;0;1;0;0;1;32.98;1.3107624;762.91475
0;0;0;1;0;1;0;32.51;1.2920918;773.93882
0;0;0;1;0;1;1;32.75;1.301324;768.44811
0;0;0;1;1;0;0;34.09;1.3547423;738.14775
0;0;0;1;1;0;1;33.34;1.3248122;754.82397
0;0;0;1;1;1;0;33.00;1.3113894;762.55001
0;0;0;1;1;1;1;33.91;1.347716;741.9961
0;0;1;0;0;0;0;34.34;1.3647742;732.72196
0;0;1;0;0;0;1;33.17;1.3180213;758.71308
0;0;1;0;0;1;0;32.89;1.3070995;765.05269
0;0;1;0;0;1;1;32.95;1.3095095;763.64469
0;0;1;0;1;0;0;33.24;1.3211275;756.92922
0;0;1;0;1;0;1;32.84;1.3048965;766.34429
0;0;1;0;1;1;0;33.92;1.348113;741.77757
0;0;1;0;1;1;1;34.43;1.3683173;730.82465
0;0;1;1;0;0;0;33.83;1.3442409;743.9143
0;0;1;1;0;0;1;34.02;1.3518252;739.74062
0;0;1;1;0;1;0;33.32;1.3242499;755.14447
0;0;1;1;0;1;1;35.03;1.3920124;718.38441
0;0;1;1;1;0;0;33.80;1.3430346;744.58245
0;0;1;1;1;0;1;33.43;1.3286582;752.63904
0;0;1;1;1;1;0;33.17;1.3180136;758.71754
0;0;1;1;1;1;1;34.88;1.3861509;721.4222
0;1;0;0;0;0;0;34.51;1.3715595;729.09705
0;1;0;0;0;0;1;34.53;1.372347;728.67866
0;1;0;0;0;1;0;33.80;1.3431484;744.51938
0;1;0;0;0;1;1;33.18;1.3184209;758.48311
0;1;0;0;1;0;0;33.83;1.3445604;743.7375
0;1;0;0;1;0;1;33.18;1.3186994;758.32293
0;1;0;0;1;1;0;33.50;1.3311772;751.21477
0;1;0;0;1;1;1;33.51;1.3315243;751.01895
0;1;0;1;0;0;0;33.00;1.3114196;762.53247
0;1;0;1;0;0;1;34.03;1.3523604;739.44788
0;1;0;1;0;1;0;33.00;1.3115734;762.44303
0;1;0;1;0;1;1;34.48;1.3703848;729.72203
0;1;0;1;1;0;0;34.39;1.3666021;731.74189
0;1;0;1;1;0;1;33.72;1.3400083;746.26401
0;1;0;1;1;1;0;34.07;1.354014;738.54479
0;1;0;1;1;1;1;33.24;1.3209114;757.05303
0;1;1;0;0;0;0;33.19;1.3189147;758.19914
0;1;1;0;0;0;1;33.21;1.3199377;757.6115
0;1;1;0;0;1;0;32.84;1.3051967;766.16804
0;1;1;0;0;1;1;32.90;1.3075859;764.76813
0;1;1;0;1;0;0;33.40;1.3271944;753.46912
0;1;1;0;1;0;1;32.86;1.3058524;765.7833
0;1;1;0;1;1;0;33.02;1.312109;762.13182
0;1;1;0;1;1;1;33.84;1.3448265;743.59032
0;1;1;1;0;0;0;33.04;1.312973;761.6303
0;1;1;1;0;0;1;33.90;1.3472519;742.25166
0;1;1;1;0;1;0;33.29;1.3230975;755.80219
0;1;1;1;0;1;1;33.66;1.3377195;747.54086
0;1;1;1;1;0;0;33.70;1.3391943;746.71762
0;1;1;1;1;0;1;33.53;1.3322877;750.58865
0;1;1;1;1;1;0;33.06;1.3136753;761.22314
0;1;1;1;1;1;1;32.84;1.3049044;766.33965
1;0;0;0;0;0;0;31.36;1.2461198;802.49108
1;0;0;0;0;0;1;30.78;1.2230856;817.60424
1;0;0;0;0;1;0;29.86;1.1867945;842.60585
1;0;0;0;0;1;1;31.14;1.2376517;807.98177
1;0;0;0;1;0;0;30.54;1.2137899;823.86581
1;0;0;0;1;0;1;30.42;1.2088644;827.22261
1;0;0;0;1;1;0;31.92;1.2686099;788.26437
1;0;0;0;1;1;1;30.31;1.2045735;830.16937
1;0;0;1;0;0;0;31.09;1.2353057;809.51624
1;0;0;1;0;0;1;32.05;1.2736693;785.13314
1;0;0;1;0;1;0;29.87;1.1868867;842.5404
1;0;0;1;0;1;1;30.34;1.2056705;829.41402
1;0;0;1;1;0;0;30.75;1.2219789;818.34474
1;0;0;1;1;0;1;31.95;1.2696936;787.59156
1;0;0;1;1;1;0;29.87;1.1870864;842.39867
1;0;0;1;1;1;1;30.73;1.2209983;819.00199
1;0;1;0;0;0;0;30.73;1.2210183;818.98856
1;0;1;0;0;0;1;30.75;1.2220207;818.31671
1;0;1;0;0;1;0;30.34;1.205494;829.53542
1;0;1;0;0;1;1;30.53;1.2131501;824.30031
1;0;1;0;1;0;0;30.42;1.2088375;827.24107
1;0;1;0;1;0;1;30.50;1.212201;824.94572
1;0;1;0;1;1;0;30.96;1.2302854;812.81955
1;0;1;0;1;1;1;30.81;1.2244153;816.71634
1;0;1;1;0;0;0;30.56;1.2144285;823.43258
1;0;1;1;0;0;1;30.54;1.213716;823.91596
1;0;1;1;0;1;0;30.82;1.2249391;816.3671
1;0;1;1;0;1;1;30.98;1.2309686;812.36843
